File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	MS2.Mass.Instability	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages	Group	Filename	Subfolder	Root	Peptides.Identified	Organism	Taxonomic ID (NCBI)	Database	Proteome_ID	Strain_ID_Experiment	Strain_ID_UniProt	Total.Protein.Number.Ref	Protein.Identification.Rate
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Achromobacter_xylosoxidans_subsp_xylosoxidans_22_1-15-2024_4091.d	20762	2559	1256380000.0	19667952042	566690077074	2.416	0.038	1.6929	1.59048	1.75778	1.69376	0	0	0.119909	14.074	2.395	0.152	100SPD_DIA	002_Achromobacter_xylosoxidans_ssp_xylosoxidans_DSM2402_DIA100_4091_report.stats.tsv	002_Achromobacter_xylosoxidans_ssp_xylosoxidans_DSM2402_DIA100_4091	Probe 1-96_100SPD_diaPASEF_diann_res	17486	Achromobacter xylosoxidans_ssp_xylosoxidans	85698	UniProt	UP000060602	DSM 2402	FDAARGOS_147	6134	41.71829149005543
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Acinetobacter_lwoffii_40_1-16-2024_4127.d	19531	1712	1194070000.0	18922092432	500496673132	2.311	0.036	1.89482	1.56277	1.80246	1.78596	0	0	0.120463	14.639	2.485	0.198	100SPD_DIA	005_Acinetobacter_lwoffii_DSM2403_DIA100_4127_report.stats.tsv	005_Acinetobacter_lwoffii_DSM2403_DIA100_4127	Probe 1-96_100SPD_diaPASEF_diann_res	15879	Acinetobacter lwoffii	28090	UniProt	UP000293391	DSM 2403	AL_065	3273	52.30675221509319
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Acinetobacter_pittii_25_1-15-2024_4097.d	22673	2066	1009580000.0	16174142351	392003525604	2.301	0.036	1.58284	1.41112	1.86904	1.79939	0	0	0.125925	14.296	2.454	0.166	100SPD_DIA	007_Acinetobacter_pittii_DSM9312_DIA100_4097_report.stats.tsv	007_Acinetobacter_pittii_DSM9312_DIA100_4097	Probe 1-96_100SPD_diaPASEF_diann_res	18652	Acinetobacter pittii	48296	UniProt	UP000271320	DSM 9312(T)	TG41884	4014	51.469855505729946
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Acinetobacter_pittii_58_1-16-2024_4163.d	22533	2077	1488530000.0	22920686092	717155923208	2.273	0.035	2.59134	1.59296	1.85218	1.75304	0	0	0.123359	14.705	2.472	0.204	100SPD_DIA	008_Acinetobacter_pittii_DSM9318_DIA100_4163_report.stats.tsv	008_Acinetobacter_pittii_DSM9318_DIA100_4163	Probe 1-96_100SPD_diaPASEF_diann_res	18052	Acinetobacter pittii	48296	UniProt	UP000271320	DSM 9318	TG41884	4014	51.743896362730446
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Aeromonas_hydrophila_subsp_hydrophila_33_1-16-2024_4113.d	32575	2776	1671820000.0	20534690701	604649188736	2.288	0.036	2.01101	1.55412	1.70415	1.76899	0	0	0.119246	14.715	2.465	0.179	100SPD_DIA	011_Aeromonas_hydrophila_ssp_hydrophila_DSM30187_DIA100_4113_report.stats.tsv	011_Aeromonas_hydrophila_ssp_hydrophila_DSM30187_DIA100_4113	Probe 1-96_100SPD_diaPASEF_diann_res	26793	Aeromonas hydrophila_ssp_hydrophila	196023	UniProt	UP000000756	DSM 30187(T)	DSM 30187	4121	67.36229070613928
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Aeromonas_hydrophila_subsp_ranae_23_1-15-2024_4093.d	26048	2423	1421420000.0	20390296098	614691356644	2.233	0.035	1.9493	1.58156	1.86525	1.73319	0	0	0.120336	14.453	2.442	0.161	100SPD_DIA	012_Aeromonas_hydrophila_ssp_ranae_DSM17695_DIA100_4093_report.stats.tsv	012_Aeromonas_hydrophila_ssp_ranae_DSM17695_DIA100_4093	Probe 1-96_100SPD_diaPASEF_diann_res	21472	Aeromonas hydrophila_ssp_ranae	208958	UniProt	UP000000756	DSM 17695(T)	DSM 30187	4121	58.79640863867993
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Aeromonas_veronii_38_1-16-2024_4123.d	23909	2294	1569160000.0	23036531232	774097389340	2.264	0.035	2.24131	1.6207	1.73955	1.72686	0	0	0.11129	14.623	2.448	0.198	100SPD_DIA	013_Aeromonas_veronii_DSM7386_DIA100_4123_report.stats.tsv	013_Aeromonas_veronii_DSM7386_DIA100_4123	Probe 1-96_100SPD_diaPASEF_diann_res	19457	Aeromonas veronii	654	UniProt	UP000006087	DSM 7386	AMC34	4109	55.82866877585787
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Alcaligenes_faecalis_subsp_faecalis_21_1-15-2024_4089.d	21900	2114	1261430000.0	19415796687	564585763062	2.346	0.037	1.68471	1.64662	1.87607	1.73291	0	0	0.107356	14.337	2.438	0.16	100SPD_DIA	021_Alcaligenes_faecalis_ssp_faecalis_DSM30030_DIA100_4089_report.stats.tsv	021_Alcaligenes_faecalis_ssp_faecalis_DSM30030_DIA100_4089	Probe 1-96_100SPD_diaPASEF_diann_res	17890	Alcaligenes faecalis_ssp_faecalis	32001	UniProt	UP000830925	DSM 30030(T)	D334	3770	56.07427055702918
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Alcaligenes_faecalis_subsp_parafaecalis_43_1-16-2024_4133.d	17196	1854	1160080000.0	19950945173	573010006944	2.355	0.037	2.12746	1.63597	1.57187	1.53562	0	0	0.110264	14.261	2.434	0.17	100SPD_DIA	022_Alcaligenes_faecalis_ssp_parafaecalis_DSM13975_DIA100_4133_report.stats.tsv	022_Alcaligenes_faecalis_ssp_parafaecalis_DSM13975_DIA100_4133	Probe 1-96_100SPD_diaPASEF_diann_res	14150	Alcaligenes faecalis_ssp_parafaecalis	171260	UniProt	UP000830925	DSM 13975(T)	D334	3770	49.17771883289125
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Bacteroides_fragilis__31_1-16-2024_4109.d	24105	1937	1236260000.0	18241255907	478837269374	2.272	0.035	1.67613	1.51239	1.84279	1.82269	0	0	0.116345	13.935	2.407	0.2	100SPD_DIA	064_Bacteroides_fragilis_DSM2151_DIA100_4109_report.stats.tsv	064_Bacteroides_fragilis_DSM2151_DIA100_4109	Probe 1-96_100SPD_diaPASEF_diann_res	20246	Bacteroides fragilis	817	UniProt	UP000003917	DSM 2151	CL05T12C13	4409	43.93286459514629
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Bordetella_pertussis_88_1-17-2024_4223.d	22285	1856	1200970000.0	18256480545	493319539178	2.309	0.036	2.1341	1.38528	1.71523	1.71924	0	0	0.135479	14.785	2.479	0.206	100SPD_DIA	066_Bordetella_pertussis_DSM5571_DIA100_4223_report.stats.tsv	066_Bordetella_pertussis_DSM5571_DIA100_4223	Probe 1-96_100SPD_diaPASEF_diann_res	18049	Bordetella pertussis	520	UniProt	UP000002676	DSM 5571(T)	NCTC 13251	3258	56.96746470227133
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Brevundimonas_diminuta_92_1-17-2024_4231.d	16674	1804	1172640000.0	20098048223	592630601722	2.296	0.036	2.34131	1.45884	1.62203	1.56421	0	0	0.112548	14.458	2.443	0.192	100SPD_DIA	070_Brevundimonas_diminuta_DSM7234_DIA100_4231_report.stats.tsv	070_Brevundimonas_diminuta_DSM7234_DIA100_4231	Probe 1-96_100SPD_diaPASEF_diann_res	13746	Brevundimonas diminuta	293	UniProt	UP000195766	DSM 7234(T)	3F5N	3128	57.672634271099746
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Brevundimonas_diminuta_87_1-17-2024_4221.d	17300	1862	1214070000.0	21052466900	638194701944	2.382	0.037	2.27395	1.42407	1.70401	1.64592	0	0	0.117452	14.488	2.432	0.193	100SPD_DIA	072_Brevundimonas_diminuta_DSM1635_DIA100_4221_report.stats.tsv	072_Brevundimonas_diminuta_DSM1635_DIA100_4221	Probe 1-96_100SPD_diaPASEF_diann_res	14275	Brevundimonas diminuta	293	UniProt	UP000195766	DSM 1635	3F5N	3128	59.526854219948845
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Brevundimonas_vesicularis_90_1-17-2024_4227.d	26333	2213	1577700000.0	19858490709	594018440912	2.347	0.037	2.26183	1.49442	1.75299	1.65465	0	0	0.118735	14.878	2.455	0.201	100SPD_DIA	076_Brevundimonas_vesicularis_DSM7226_DIA100_4227_report.stats.tsv	076_Brevundimonas_vesicularis_DSM7226_DIA100_4227	Probe 1-96_100SPD_diaPASEF_diann_res	21546	Brevundimonas vesicularis	41276	UniProt	UP000197050	DSM 7226(T)	FDAARGOS_289	3269	67.69654328540838
/Probe 1-96_100SPD_diaPASEF/BacLandscape_100SPD_diaPASEF_Brevundimonas_vesicularis_94_1-17-2024_4235.d	20002	1867	1435390000.0	21611656257	671198547856	2.275	0.035	2.56035	1.62938	1.6659	1.58793	0	0	0.130225	14.628	2.437	0.211	100SPD_DIA	078_Brevundimonas_vesicularis_DSM108136_DIA100_4235_report.stats.tsv	078_Brevundimonas_vesicularis_DSM108136_DIA100_4235	Probe 1-96_100SPD_diaPASEF_diann_res	16345	Brevundimonas vesicularis	41276	UniProt	UP000197050	DSM 108136	FDAARGOS_289	3269	57.11226674824105
